State,District,Date,Year,Month,Avg_rainfall,Agency_name
Andhra Pradesh,Nellore,2021-11-10,2021,11,6.243728095,IMD GRID MODEL
Andhra Pradesh,Nellore,2021-11-11,2021,11,56.44459367,IMD GRID MODEL
Andhra Pradesh,Nellore,2021-11-17,2021,11,13.50640445,IMD GRID MODEL
Andhra Pradesh,Nellore,2021-11-28,2021,11,55.16741911,IMD GRID MODEL
Andhra Pradesh,Nellore,2021-12-03,2021,12,0.0,IMD GRID MODEL
Andhra Pradesh,Nellore,2021-12-08,2021,12,0.087810312,IMD GRID MODEL
Andhra Pradesh,Nellore,2021-12-10,2021,12,16.29053304,IMD GRID MODEL
Andhra Pradesh,Nellore,2021-12-11,2021,12,3.520084941,IMD GRID MODEL
Andhra Pradesh,Nellore,2021-12-13,2021,12,2.937495901,IMD GRID MODEL
Andhra Pradesh,Nellore,2021-12-17,2021,12,0.0,IMD GRID MODEL
Andhra Pradesh,Nellore,2021-12-19,2021,12,0.0,IMD GRID MODEL
Andhra Pradesh,Nellore,2021-12-25,2021,12,0.0,IMD GRID MODEL
Andhra Pradesh,Nellore,2021-12-27,2021,12,0.0,IMD GRID MODEL
Andhra Pradesh,Nellore,2021-12-29,2021,12,1.500996205,IMD GRID MODEL
Andhra Pradesh,Nellore,2021-01-21,2021,1,0.0,IMD GRID MODEL
Andhra Pradesh,Nellore,2021-04-01,2021,4,0.0,IMD GRID MODEL
Andhra Pradesh,Nellore,2021-04-06,2021,4,0.0,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2021-01-04,2021,1,0.0,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2021-01-05,2021,1,0.0,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2021-01-09,2021,1,0.0,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2021-01-17,2021,1,0.0,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2021-01-20,2021,1,0.0,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2021-01-29,2021,1,0.0,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2021-02-05,2021,2,0.0,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2021-02-07,2021,2,0.0,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2021-02-12,2021,2,0.0,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2021-02-20,2021,2,0.0,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2021-02-22,2021,2,0.0,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2021-02-23,2021,2,0.0,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2021-03-03,2021,3,0.0,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2021-03-05,2021,3,0.0,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2021-03-07,2021,3,0.0,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2021-03-10,2021,3,0.0,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2021-03-13,2021,3,0.0,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2021-03-15,2021,3,0.0,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2021-03-16,2021,3,0.0,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2021-03-21,2021,3,0.0,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2021-03-25,2021,3,0.0,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2021-04-01,2021,4,0.0,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2021-04-02,2021,4,0.0,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2021-04-10,2021,4,1.769537094,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2021-04-12,2021,4,0.0,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2021-04-17,2021,4,0.289128557,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2021-04-24,2021,4,2.358087747,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2021-04-25,2021,4,0.0,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2021-04-27,2021,4,0.0,IMD GRID MODEL
Andhra Pradesh,Srikakulam,2021-04-28,2021,4,0.495662478,IMD GRID MODEL
