District_ID,Date,Year,Month,Avg_rainfall
10,2021-06-03 00:00:00,2021,6,20.45679409
10,2021-06-21 00:00:00,2021,6,0.0
10,2021-07-05 00:00:00,2021,7,7.756145261
10,2021-07-15 00:00:00,2021,7,15.83276246
10,2021-07-16 00:00:00,2021,7,2.384371735
10,2021-07-17 00:00:00,2021,7,0.074214137
10,2021-07-19 00:00:00,2021,7,1.207431069
10,2021-07-21 00:00:00,2021,7,23.26099016
10,2021-07-23 00:00:00,2021,7,0.72914866
10,2021-07-14 00:00:00,2021,7,29.47142507
10,2021-07-26 00:00:00,2021,7,0.069197644
10,2021-07-31 00:00:00,2021,7,0.05614392
10,2021-08-01 00:00:00,2021,8,0.029218386
10,2021-08-06 00:00:00,2021,8,0.437338784
10,2021-08-14 00:00:00,2021,8,1.514684533
10,2021-08-19 00:00:00,2021,8,1.891319355
10,2021-08-26 00:00:00,2021,8,13.47933987
10,2021-08-30 00:00:00,2021,8,17.50033925
10,2021-08-31 00:00:00,2021,8,12.93780273
10,2021-09-02 00:00:00,2021,9,0.24981024
10,2021-09-04 00:00:00,2021,9,0.919733927
10,2021-09-16 00:00:00,2021,9,0.683585836
10,2021-09-23 00:00:00,2021,9,0.75915504
10,2021-10-02 00:00:00,2021,10,0.311461325
10,2021-10-06 00:00:00,2021,10,1.591948009
10,2021-10-13 00:00:00,2021,10,0.048590475
10,2021-10-14 00:00:00,2021,10,0.0
10,2021-10-18 00:00:00,2021,10,0.053531827
10,2021-10-19 00:00:00,2021,10,6.925643776
10,2021-10-30 00:00:00,2021,10,10.69430096
10,2021-11-05 00:00:00,2021,11,0.051531767
10,2021-11-08 00:00:00,2021,11,0.0
10,2021-11-15 00:00:00,2021,11,1.945240076
10,2021-11-17 00:00:00,2021,11,0.479616974
10,2021-11-23 00:00:00,2021,11,5.895483953
10,2021-11-24 00:00:00,2021,11,0.249872179
10,2021-11-29 00:00:00,2021,11,0.0
10,2021-12-07 00:00:00,2021,12,0.006491386
10,2021-12-11 00:00:00,2021,12,0.0
10,2021-12-13 00:00:00,2021,12,0.0
10,2021-12-21 00:00:00,2021,12,0.0
11,2021-01-09 00:00:00,2021,1,0.0
11,2021-01-16 00:00:00,2021,1,0.0
11,2021-01-18 00:00:00,2021,1,0.0
11,2021-01-19 00:00:00,2021,1,0.0
11,2021-01-20 00:00:00,2021,1,0.0
11,2021-01-22 00:00:00,2021,1,0.0
11,2021-01-28 00:00:00,2021,1,0.0
11,2021-01-30 00:00:00,2021,1,0.0
11,2021-01-31 00:00:00,2021,1,0.074872709
11,2021-02-03 00:00:00,2021,2,0.0
11,2021-02-04 00:00:00,2021,2,0.0
11,2021-02-13 00:00:00,2021,2,0.0
11,2021-02-18 00:00:00,2021,2,0.0
11,2021-02-20 00:00:00,2021,2,0.0
11,2021-03-16 00:00:00,2021,3,0.0
11,2021-03-20 00:00:00,2021,3,0.0
11,2021-03-21 00:00:00,2021,3,0.517466815
11,2021-03-23 00:00:00,2021,3,0.004413488
11,2021-04-13 00:00:00,2021,4,4.098639809
11,2021-04-21 00:00:00,2021,4,0.716364664
