State,District,Date,Year,Month,Avg_rainfall,Agency_name
Andhra Pradesh,Prakasam,13-11-2021,2021,11,8.908350305,IMD GRID MODEL
Andhra Pradesh,Prakasam,14-11-2021,2021,11,10.19368448,IMD GRID MODEL
Andhra Pradesh,Prakasam,22-11-2021,2021,11,8.801283487,IMD GRID MODEL
Andhra Pradesh,Prakasam,02-12-2021,2021,12,0,IMD GRID MODEL
Andhra Pradesh,Prakasam,04-12-2021,2021,12,0,IMD GRID MODEL
Andhra Pradesh,Prakasam,08-12-2021,2021,12,0.082333551,IMD GRID MODEL
Andhra Pradesh,Prakasam,11-12-2021,2021,12,0.384491365,IMD GRID MODEL
Andhra Pradesh,Prakasam,18-12-2021,2021,12,0,IMD GRID MODEL
Andhra Pradesh,Prakasam,19-12-2021,2021,12,0,IMD GRID MODEL
Andhra Pradesh,Prakasam,21-12-2021,2021,12,0,IMD GRID MODEL
Andhra Pradesh,Prakasam,24-12-2021,2021,12,0,IMD GRID MODEL
Andhra Pradesh,Prakasam,26-12-2021,2021,12,0,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,03-01-2021,2021,1,0.075996454,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,04-01-2021,2021,1,0,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,05-01-2021,2021,1,2.701022795,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,10-01-2021,2021,1,0.24040186,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,18-01-2021,2021,1,0,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,22-01-2021,2021,1,0,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,23-01-2021,2021,1,0,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,25-01-2021,2021,1,0,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,11-02-2021,2021,2,0,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,15-02-2021,2021,2,0,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,24-02-2021,2021,2,0,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,05-03-2021,2021,3,0,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,06-03-2021,2021,3,0,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,08-03-2021,2021,3,0,IMD GRID MODEL
Andhra Pradesh,SPSR Nellore,14-03-2021,2021,3,0,IMD GRID MODEL
