State,District,Date,Year,Month,Avg_rainfall,Agency_name
Andhra Pradesh,Vizianagaram,10-05-2025,2025,5,0.177453008,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,23-05-2025,2025,5,13.17047732,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,18-06-2025,2025,6,1.289408717,IMD GRID MODEL
Andhra Pradesh,West Godavari,05-01-2025,2025,1,0.001588623,IMD GRID MODEL
Andhra Pradesh,West Godavari,10-01-2025,2025,1,0.001878122,IMD GRID MODEL
Andhra Pradesh,West Godavari,11-01-2025,2025,1,0,IMD GRID MODEL
Andhra Pradesh,West Godavari,19-01-2025,2025,1,0,IMD GRID MODEL
Andhra Pradesh,West Godavari,23-01-2025,2025,1,0.030279655,IMD GRID MODEL
Andhra Pradesh,West Godavari,28-01-2025,2025,1,0,IMD GRID MODEL
Andhra Pradesh,West Godavari,04-02-2025,2025,2,0,IMD GRID MODEL
Andhra Pradesh,West Godavari,08-02-2025,2025,2,0,IMD GRID MODEL
Andhra Pradesh,West Godavari,09-02-2025,2025,2,0,IMD GRID MODEL
Andhra Pradesh,West Godavari,10-02-2025,2025,2,0,IMD GRID MODEL
Andhra Pradesh,West Godavari,13-02-2025,2025,2,9.12E-05,IMD GRID MODEL
Andhra Pradesh,West Godavari,14-02-2025,2025,2,0,IMD GRID MODEL
Andhra Pradesh,West Godavari,18-02-2025,2025,2,0,IMD GRID MODEL
Andhra Pradesh,West Godavari,27-02-2025,2025,2,0,IMD GRID MODEL
Andhra Pradesh,West Godavari,28-02-2025,2025,2,0,IMD GRID MODEL
Andhra Pradesh,West Godavari,02-03-2025,2025,3,0,IMD GRID MODEL
Andhra Pradesh,West Godavari,03-03-2025,2025,3,0.009235525,IMD GRID MODEL
Andhra Pradesh,West Godavari,04-03-2025,2025,3,0,IMD GRID MODEL
Andhra Pradesh,West Godavari,05-03-2025,2025,3,0.742446201,IMD GRID MODEL
Andhra Pradesh,West Godavari,09-03-2025,2025,3,0.000650957,IMD GRID MODEL
Andhra Pradesh,West Godavari,19-03-2025,2025,3,0,IMD GRID MODEL
Andhra Pradesh,West Godavari,24-03-2025,2025,3,0.001291346,IMD GRID MODEL
Andhra Pradesh,West Godavari,25-03-2025,2025,3,0.049724497,IMD GRID MODEL
Andhra Pradesh,West Godavari,26-03-2025,2025,3,0.001286659,IMD GRID MODEL
Andhra Pradesh,West Godavari,30-03-2025,2025,3,0,IMD GRID MODEL
Andhra Pradesh,West Godavari,31-03-2025,2025,3,0.003330773,IMD GRID MODEL
Andhra Pradesh,West Godavari,06-04-2025,2025,4,0.633101131,IMD GRID MODEL
Andhra Pradesh,West Godavari,12-04-2025,2025,4,1.06255746,IMD GRID MODEL
Andhra Pradesh,West Godavari,15-04-2025,2025,4,0,IMD GRID MODEL
Andhra Pradesh,West Godavari,25-04-2025,2025,4,0,IMD GRID MODEL
Andhra Pradesh,West Godavari,26-04-2025,2025,4,0.026200612,IMD GRID MODEL
Andhra Pradesh,West Godavari,29-04-2025,2025,4,0.015284059,IMD GRID MODEL
Andhra Pradesh,West Godavari,04-05-2025,2025,5,4.403132625,IMD GRID MODEL
Andhra Pradesh,West Godavari,07-05-2025,2025,5,0.778445492,IMD GRID MODEL
Andhra Pradesh,West Godavari,25-05-2025,2025,5,6.865923502,IMD GRID MODEL
Andhra Pradesh,West Godavari,29-05-2025,2025,5,5.362349019,IMD GRID MODEL
Andhra Pradesh,West Godavari,30-05-2025,2025,5,5.82317825,IMD GRID MODEL
Andhra Pradesh,West Godavari,12-06-2025,2025,6,2.313693146,IMD GRID MODEL
Andhra Pradesh,West Godavari,17-06-2025,2025,6,5.222636651,IMD GRID MODEL
Andhra Pradesh,West Godavari,18-06-2025,2025,6,0.333663609,IMD GRID MODEL
Andhra Pradesh,West Godavari,21-06-2025,2025,6,6.896809539,IMD GRID MODEL
Andhra Pradesh,West Godavari,22-06-2025,2025,6,20.63282027,IMD GRID MODEL
Andhra Pradesh,West Godavari,26-06-2025,2025,6,27.1896235,IMD GRID MODEL
Andhra Pradesh,Y.S.R.,05-01-2025,2025,1,0,IMD GRID MODEL
Andhra Pradesh,Y.S.R.,08-01-2025,2025,1,0,IMD GRID MODEL
Andhra Pradesh,Y.S.R.,11-01-2025,2025,1,0.075848492,IMD GRID MODEL
Andhra Pradesh,Y.S.R.,17-01-2025,2025,1,0.004911948,IMD GRID MODEL
Andhra Pradesh,Y.S.R.,23-01-2025,2025,1,0,IMD GRID MODEL
Andhra Pradesh,Y.S.R.,04-02-2025,2025,2,0.001797424,IMD GRID MODEL
Andhra Pradesh,Y.S.R.,17-02-2025,2025,2,0.00260289,IMD GRID MODEL
Andhra Pradesh,Y.S.R.,20-02-2025,2025,2,0.002159952,IMD GRID MODEL
Andhra Pradesh,Y.S.R.,22-02-2025,2025,2,0.000473887,IMD GRID MODEL
Andhra Pradesh,Y.S.R.,27-02-2025,2025,2,0.001471307,IMD GRID MODEL
Andhra Pradesh,Y.S.R.,05-03-2025,2025,3,0.016895252,IMD GRID MODEL
Andhra Pradesh,Y.S.R.,10-03-2025,2025,3,0.001407212,IMD GRID MODEL
Andhra Pradesh,Y.S.R.,14-03-2025,2025,3,0,IMD GRID MODEL
