State,District,Date,Year,Month,Avg_rainfall,Agency_name
Andhra Pradesh,Vizianagaram,2022-02-07,2022,02,0.0,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2022-02-09,2022,02,0.0,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2022-02-16,2022,02,0.0,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2022-02-19,2022,02,0.0,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2022-02-28,2022,02,0.0,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2022-03-06,2022,03,0.0,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2022-03-07,2022,03,0.0,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2022-03-11,2022,03,0.0,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2022-03-13,2022,03,0.0,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2022-03-17,2022,03,0.0,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2022-03-18,2022,03,0.0,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2022-03-21,2022,03,0.0,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2022-03-25,2022,03,0.0,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2022-03-30,2022,03,0.0,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2022-04-07,2022,04,1.299151462,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2022-04-13,2022,04,0.0,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2022-04-16,2022,04,0.00093958,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2022-04-18,2022,04,0.375183467,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2022-04-19,2022,04,0.013779245,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2022-04-21,2022,04,0.0,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2022-04-23,2022,04,0.0,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2022-04-25,2022,04,0.011529722,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2022-04-28,2022,04,0.933486205,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2022-05-03,2022,05,19.98665897,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2022-05-05,2022,05,0.049876921,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2022-05-06,2022,05,9.214467756,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2022-05-07,2022,05,0.0,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2022-05-15,2022,05,0.0,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2022-05-27,2022,05,14.0676675,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2022-05-29,2022,05,1.08503913,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2022-05-31,2022,05,0.0,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2022-06-01,2022,06,0.002900894,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2022-06-04,2022,06,9.732651118,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2022-06-07,2022,06,0.541498458,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2022-06-11,2022,06,0.03841472,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2022-06-12,2022,06,0.999981354,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2022-06-13,2022,06,15.8751741,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2022-06-18,2022,06,0.981160816,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2022-07-03,2022,07,2.256763512,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2022-07-08,2022,07,6.998158303,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2022-07-10,2022,07,6.463912872,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2022-07-26,2022,07,4.695397143,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2022-07-27,2022,07,4.992223241,IMD GRID MODEL
Andhra Pradesh,Vizianagaram,2022-07-28,2022,07,0.021107401,IMD GRID MODEL
